84,Parking a Commercial Vehicle on any city street with its platform lift in the lowered position while no one is with the vehicle.
85,"Parking a Commercial Vehicle more than 3 hours, where parking is allowed."
86,"Standing or parking a vehicle to make pickups, deliveries or service calls for more than 3 hours, unless allowed by posted signs, between 7AM and 7PM, except Sundays, in Manhattan from 14th to 60th Streets and First to Eighth Avenues."
87,Fraudulent use of agency authorized parking permit.
88,
89,"Standing or parking a vehicle in the Garment District (in Manhattan, from 35th Street to 41st Street, between the Avenues of America and Eighth Avenue) between the hours of 7:00am – 7:00pm. However, a Commercial Vehicle which is a truck or a van can park temporarily (up to a maximum of 3 hours) while making a pickup, delivery or service call."
90,
91,Parking in order to sell a vehicle by a person who regularly sells vehicles.
92,"Parking in order to wash, grease, or repair a vehicle by a person who regularly repairs vehicles."
93,"Stopping, standing or parking on paved roadway to change a flat tire, unless permitted by posted sign."
94,Vehicle Release penalty associated with NYPD's Violation Tow Program.
95,
96,Standing or parking within 50 feet of the nearest rail of a railroad crossing.
97,Parking in a vacant lot. A vehicle may be parked on a vacant lot having a municipally authorized driveway upon written permission of the owner.
98,Standing or parking in front of a public or private driveway. The owner or renter of a lot accessed by a private driveway may park a passenger vehicle registered to him / her at that address in front of the driveway provided the lot does not contain more than 2 dwelling units and that parking does not violate any other rule or restriction.
99,"All other parking, standing or stopping violations."
100,
